,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
1867,11929,5774.207136,1.0,2102.51,721.67,1380.84,3536.3204020000003,0.916667,0.333333,0.916667,0.083333,7,37,15000.0,4711.567357,1308.759437,0.0,12,Target
1901,11963,5206.452425,1.0,0.0,0.0,0.0,3256.756231,0.0,0.0,0.0,0.375,6,0,9500.0,996.1827119999999,1093.098388,0.0,8,Target
1904,11966,7248.040967,1.0,0.0,0.0,0.0,3990.9637810000004,0.0,0.0,0.0,0.666667,24,0,8500.0,2645.690806,2530.438744,0.0,12,Target
1907,11969,5283.566994,1.0,202.31,116.09,86.22,1564.285475,0.333333,0.166667,0.166667,0.666667,17,5,9500.0,1384.838966,1266.931932,0.0,12,Target
1912,11974,5292.905315,1.0,5539.68,2603.79,2935.89,0.0,1.0,0.916667,1.0,0.0,0,273,6000.0,3597.6775820000003,3838.484817,0.0,12,Target
1917,11979,5403.208353,1.0,1085.85,1025.19,60.66,1252.18184,0.5,0.5,0.166667,0.583333,18,19,6000.0,1572.554124,1921.6363780000001,0.0,12,Target
1919,11981,5418.305735,1.0,0.0,0.0,0.0,5051.791781,0.0,0.0,0.0,0.666667,29,0,8000.0,1476.335057,1555.563621,0.0,12,Target
1920,11982,11955.30817,1.0,0.0,0.0,0.0,2108.3025629999997,0.0,0.0,0.0,0.666667,22,0,13000.0,3933.35535,5601.587775999999,0.0,12,Target
1923,11985,4382.112084,1.0,294.75,0.0,294.75,4945.02074,0.75,0.0,0.75,0.916667,25,11,4000.0,6445.786897,6059.764322,0.0,12,Target
1924,11986,9264.786223000001,1.0,0.0,0.0,0.0,4158.61262,0.0,0.0,0.0,0.333333,5,0,9500.0,2535.922657,2245.846623,0.0,12,Target
1925,11987,6512.478876,1.0,98.0,98.0,0.0,3320.07679,0.125,0.125,0.0,0.875,52,1,7000.0,1304.362846,1642.26745,0.0,8,Target
1936,11998,9459.138771,1.0,878.11,159.91,718.2,5247.419951,1.0,0.25,0.916667,0.5,8,16,15000.0,1987.085155,2931.217581,0.0,12,Target
1937,11999,4626.278300999999,1.0,0.0,0.0,0.0,9579.677222,0.0,0.0,0.0,0.5,9,0,5000.0,613.553141,633.691762,0.0,6,Target
1943,12006,5598.864288000001,1.0,7194.53,6678.26,516.27,14200.89313,1.0,1.0,1.0,0.833333,37,69,15500.0,12487.36815,2074.900111,0.083333,12,Target
1944,12007,6537.800686,1.0,1885.94,75.0,1810.94,2099.802521,0.916667,0.083333,0.916667,0.416667,6,29,8500.0,1625.320799,1608.3075210000002,0.0,12,Target
1954,12017,5291.221238,1.0,2090.47,1965.41,125.06,1153.665768,0.5,0.5,0.416667,0.25,3,21,15000.0,1718.461993,1495.799354,0.0,12,Target
1957,12020,6727.539698999999,1.0,711.72,617.4,94.32,6498.711722,1.0,0.916667,1.0,0.416667,12,23,8500.0,1303.904127,1834.59712,0.0,12,Target
1959,12022,5715.854635000001,1.0,2173.99,1556.19,617.8,0.0,0.666667,0.583333,0.5,0.0,0,33,8500.0,1828.965006,1313.8839150000001,0.0,12,Target
1976,12039,4333.59727,1.0,333.08,333.08,0.0,72.04923199999999,0.416667,0.416667,0.0,0.083333,1,7,12500.0,1113.279765,1634.9904,0.0,12,Target
1983,12046,7119.163662999999,1.0,1370.21,937.65,432.56,8527.393281,1.0,1.0,0.416667,0.5,10,18,12000.0,19143.03225,2618.798545,0.0,12,Target
1988,12051,8435.192572,1.0,0.0,0.0,0.0,8419.833270000001,0.0,0.0,0.0,0.25,15,0,9000.0,10720.57047,3284.528716,0.0,12,Target
2001,12064,9355.739389,1.0,0.0,0.0,0.0,2286.927789,0.0,0.0,0.0,0.166667,4,0,10000.0,2335.8873399999998,2531.968747,0.0,12,Target
2003,12066,8084.624525,1.0,0.0,0.0,0.0,4713.978717,0.0,0.0,0.0,0.583333,14,0,11000.0,1910.8367690000002,3385.385063,0.0,12,Target
2006,12069,4232.350593,1.0,32.35,32.35,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,14000.0,1262.608728,1163.7988560000001,0.0,12,Target
2015,12078,5919.198579,1.0,9321.13,4678.79,4642.34,0.0,1.0,1.0,1.0,0.0,0,171,15000.0,7303.897865999999,1395.715133,0.0,12,Target
2020,12083,7333.442833,1.0,320.8,0.0,320.8,9733.258025,0.833333,0.0,0.75,1.0,38,10,10000.0,2036.371171,2529.594963,0.0,12,Target
2034,12097,5408.754166,1.0,1207.24,979.36,227.88,3064.470065,0.166667,0.166667,0.083333,0.916667,20,18,7000.0,3130.304246,2767.0526579999996,0.0,12,Target
2038,12101,7105.801894,1.0,0.0,0.0,0.0,1648.096839,0.0,0.0,0.0,0.083333,8,0,7500.0,1400.282454,4486.832622,0.0,12,Target
2046,12110,4784.708882,1.0,5848.99,2604.0,3244.99,3503.547107,1.0,0.583333,1.0,0.166667,6,119,5000.0,9006.196318,4513.4889299999995,0.083333,12,Target
2048,12112,4612.935167000001,0.9,158.2,0.0,158.2,5391.599959,0.3,0.0,0.2,0.4,9,3,6000.0,756.247099,1379.468717,0.0,10,Target
2051,12115,7842.784061,1.0,5930.99,3862.79,2068.2,0.0,1.0,0.916667,1.0,0.0,0,168,11500.0,12493.77894,1780.353532,0.0,12,Target
2058,12122,4196.43487,1.0,90.01,90.01,0.0,1804.826917,0.166667,0.166667,0.0,0.25,3,3,8000.0,943.446254,1064.27255,0.0,12,Target
2070,12136,4955.580535,1.0,0.0,0.0,0.0,3481.5296350000003,0.0,0.0,0.0,0.916667,26,0,6500.0,1252.775151,1572.3098400000001,0.0,12,Target
2079,12145,8636.950854,1.0,972.09,43.0,929.09,2590.575082,1.0,0.083333,1.0,0.416667,8,26,10500.0,2025.270282,2959.4013170000003,0.0,12,Target
2080,12146,7698.663006999999,1.0,673.15,574.28,98.87,6076.961711,0.833333,0.25,0.75,0.5,8,14,12000.0,1907.16983,2144.047631,0.0,12,Target
2088,12154,10599.4423,1.0,4029.24,2926.43,1102.81,0.0,1.0,1.0,1.0,0.0,0,102,12500.0,2343.311066,2351.640064,0.0,12,Target
2090,12156,7506.908598999999,1.0,465.36,465.36,0.0,1609.506076,0.25,0.25,0.0,0.083333,3,4,12000.0,1772.157134,2302.03915,0.0,12,Target
2092,12158,4811.886042,1.0,4911.41,4005.81,905.6,10629.80756,0.75,0.75,0.25,0.416667,14,63,6000.0,10079.38741,2045.063933,0.11111099999999999,12,Target
2114,12180,4478.312669,1.0,2461.9,2461.9,0.0,202.81616699999998,0.166667,0.166667,0.0,0.166667,2,13,5000.0,1041.8255589999999,1143.9390640000001,0.0,12,Target
2120,12186,4059.059276,1.0,0.0,0.0,0.0,4328.327270000001,0.0,0.0,0.0,0.333333,4,0,6500.0,1127.4932210000002,1005.215148,0.0,12,Target
2131,12198,7021.942956999999,1.0,0.0,0.0,0.0,3217.3279390000002,0.0,0.0,0.0,0.666667,12,0,7500.0,2955.428583,2793.752245,0.0,12,Target
2140,12207,3932.482783,1.0,1674.11,649.0,1025.11,0.0,1.0,0.333333,1.0,0.0,0,43,11500.0,1166.117797,954.24196,0.0,12,Target
2143,12210,6460.838793999999,1.0,6814.47,6814.47,0.0,0.0,1.0,1.0,0.0,0.0,0,15,13000.0,1917.817732,1643.130029,0.0,12,Target
2152,12219,4223.867789,1.0,2514.74,1597.67,917.07,3444.750251,1.0,1.0,0.833333,0.333333,11,53,5500.0,964.935365,1676.595311,0.0,6,Target
2153,12220,5067.576984,1.0,714.68,402.68,312.0,726.955255,1.0,0.083333,1.0,0.083333,2,14,5000.0,1649.118645,2967.748073,0.0,12,Target
2159,12226,10905.05381,1.0,431.93,133.5,298.43,47137.211760000006,0.583333,0.25,0.5,1.0,123,21,19600.0,39048.59762,5394.1736710000005,0.0,12,Target
2179,12247,4550.3970039999995,1.0,548.0,548.0,0.0,660.523355,0.25,0.25,0.0,0.25,5,7,5000.0,1158.922139,1330.173932,0.0,12,Target
2182,12250,4623.886447999999,1.0,883.94,741.44,142.5,0.0,1.0,1.0,0.25,0.0,0,15,6000.0,2790.54214,1419.287973,0.0,12,Target
2189,12257,5570.18253,1.0,0.0,0.0,0.0,2744.808962,0.0,0.0,0.0,0.166667,3,0,6000.0,1748.960475,1291.8099439999999,0.0,12,Target
2196,12265,5926.837633,0.818182,0.0,0.0,0.0,9596.316702,0.0,0.0,0.0,0.181818,6,0,13000.0,1599.7927949999998,2715.036678,0.0,11,Target
2205,12274,4068.1626990000004,1.0,3387.47,1938.13,1449.34,0.0,1.0,1.0,1.0,0.0,0,86,8500.0,1312.481879,1245.153414,0.0,12,Target
2206,12275,5432.113514,1.0,793.1,793.1,0.0,6245.023709,0.583333,0.583333,0.0,0.5,15,13,10000.0,1261.909483,1290.536388,0.0,12,Target
2210,12279,7764.210895,1.0,90.0,90.0,0.0,4032.071583,0.083333,0.083333,0.0,0.583333,13,1,11150.0,1566.916181,2091.528879,0.0,12,Target
2212,12281,9226.107838,1.0,2217.94,990.46,1227.48,3533.1467049999997,1.0,0.166667,1.0,0.25,5,16,10500.0,3075.113742,4231.0635600000005,0.0,12,Target
2214,12283,4158.137668,1.0,8.4,8.4,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,1001.1754099999999,1917.458466,0.0,12,Target
2215,12284,5995.793488,1.0,0.0,0.0,0.0,3454.101774,0.0,0.0,0.0,0.416667,12,0,6500.0,1868.4754260000002,1486.185877,0.0,12,Target
2232,12302,4677.0212950000005,1.0,1798.66,1364.22,434.44,1569.577102,0.916667,0.583333,0.916667,0.416667,6,36,9000.0,1156.783897,1615.317615,0.0,12,Target
2240,12310,3797.9957259999996,1.0,0.0,0.0,0.0,17278.53864,0.0,0.0,0.0,0.833333,56,0,12000.0,15884.69746,1078.537276,0.166667,12,Target
2242,12312,4181.216990999999,1.0,1443.33,1443.33,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,6000.0,1027.149996,1420.666789,0.0,12,Target
2249,12319,5815.890915999999,1.0,1245.33,1245.33,0.0,2697.454999,0.5,0.5,0.0,0.583333,10,18,7000.0,1287.745322,1531.220292,0.0,12,Target
2258,12329,6877.284986,1.0,687.97,542.97,145.0,3406.9093399999997,0.416667,0.083333,0.25,0.666667,12,11,7500.0,2358.946309,1898.4808469999998,0.0,12,Target
2263,12334,7820.331303,1.0,80.0,80.0,0.0,1147.891529,0.083333,0.083333,0.0,0.25,3,1,15000.0,1963.299182,2141.7644530000002,0.0,12,Target
2267,12338,4939.64603,1.0,470.54,139.38,331.16,8753.243163,0.75,0.333333,0.583333,0.916667,39,14,10000.0,11721.86573,1183.292044,0.083333,12,Target
2276,12347,6887.915143000001,1.0,4340.42,3608.17,732.25,7028.901031,1.0,1.0,0.916667,0.833333,29,59,11500.0,16616.23528,1688.7105210000002,0.083333,12,Target
2288,12359,5355.922522999999,1.0,2469.28,905.98,1563.3,5839.680075,0.916667,0.583333,0.833333,0.666667,27,33,8000.0,1226.8574820000001,2016.3829899999998,0.0,12,Target
2296,12367,6891.424677,1.0,4399.07,3705.13,693.94,1838.0937969999998,1.0,1.0,0.333333,0.25,4,80,11150.0,1834.501318,1864.863139,0.0,12,Target
2306,12377,5897.491822999999,1.0,0.0,0.0,0.0,3318.487381,0.0,0.0,0.0,0.333333,8,0,7500.0,1417.9702439999999,1809.9743260000002,0.0,12,Target
2309,12382,4920.036231,1.0,1562.43,249.24,1313.19,0.0,1.0,0.25,1.0,0.0,0,42,13000.0,1851.9969079999998,1178.476722,0.0,12,Target
2310,12383,4071.7921659999997,1.0,1721.66,551.17,1170.49,0.0,1.0,0.5,1.0,0.0,0,27,10000.0,1065.8949380000001,1173.307383,0.0,12,Target
2329,12402,7156.345546,1.0,0.0,0.0,0.0,2506.083985,0.0,0.0,0.0,0.25,6,0,18000.0,3447.7334549999996,1608.111732,0.0,12,Target
2332,12405,4395.237251,1.0,2514.3,985.11,1529.19,0.0,1.0,0.666667,1.0,0.0,0,32,5000.0,2095.014385,1960.982734,0.0,12,Target
2337,12410,5257.8073079999995,1.0,2331.68,1088.04,1243.64,10291.125740000001,0.75,0.333333,0.666667,0.583333,10,34,17500.0,2543.033209,1237.405459,0.0,12,Target
2338,12411,3860.238072,1.0,11.41,11.41,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,10000.0,7280.584479000001,1013.780486,0.083333,12,Target
2340,12413,6509.3346520000005,1.0,538.51,538.51,0.0,7232.069823000001,0.333333,0.333333,0.0,0.666667,20,4,12000.0,1355.948713,1471.1644390000001,0.0,12,Target
2343,12416,5932.367808,1.0,0.0,0.0,0.0,4253.311089,0.0,0.0,0.0,0.5,10,0,6000.0,2657.196453,4431.645308,0.0,12,Target
2345,12418,5925.120611,1.0,1763.89,258.43,1505.46,0.0,1.0,0.25,1.0,0.0,0,195,6500.0,2557.841292,2268.5441170000004,0.0,12,Target
2348,12421,4059.211725,1.0,0.0,0.0,0.0,4524.312762,0.0,0.0,0.0,0.25,4,0,5000.0,3246.575307,866.693315,0.0,12,Target
2349,12422,8356.277203,1.0,983.24,983.24,0.0,2329.181013,0.166667,0.166667,0.0,0.333333,7,4,14000.0,3468.13596,2412.9582579999997,0.0,12,Target
2352,12425,4523.499003,1.0,0.0,0.0,0.0,966.297398,0.0,0.0,0.0,0.083333,2,0,9500.0,1348.018275,1101.578675,0.0,12,Target
2354,12427,3778.609797,1.0,878.29,631.27,247.02,0.0,0.583333,0.5,0.25,0.0,0,13,8500.0,883.744982,858.064557,0.0,12,Target
2361,12434,15532.339719999998,1.0,1168.75,0.0,1168.75,3183.037625,0.916667,0.0,0.916667,0.25,5,11,16500.0,3906.738592,3379.593046,0.0,12,Target
2373,12446,7803.470739,1.0,7184.73,6519.19,665.54,0.0,1.0,0.583333,0.916667,0.0,0,78,11500.0,2250.502094,3745.1168479999997,0.0,12,Target
2374,12447,5274.508500999999,1.0,324.96,0.0,324.96,1392.925291,1.0,0.0,1.0,0.25,5,12,5500.0,938.0732830000001,2927.486552,0.0,12,Target
2382,12455,5082.971064,1.0,1893.89,1543.89,350.0,970.7087960000001,1.0,1.0,0.416667,0.083333,1,27,9500.0,1607.021526,1480.2663300000002,0.0,12,Target
2387,12460,7985.6218260000005,1.0,123.24,123.24,0.0,7949.596045,0.166667,0.166667,0.0,0.666667,32,2,14500.0,9438.180272,1961.4131539999998,0.0,12,Target
2389,12462,5520.201751,1.0,0.0,0.0,0.0,6218.171457,0.0,0.0,0.0,0.666667,23,0,7000.0,5878.42845,1719.694161,0.0,12,Target
2392,12465,5701.848812,1.0,1126.68,1033.6,93.08,1831.160025,0.833333,0.416667,0.666667,0.333333,5,20,7000.0,1382.1792619999999,1438.031851,0.0,12,Target
2399,12472,4587.892398,1.0,140.6,140.6,0.0,953.9340179999999,0.083333,0.083333,0.0,0.25,3,2,5500.0,1151.202909,1489.130441,0.0,12,Target
2400,12473,4005.3449259999998,1.0,9134.26,2002.9,7131.36,0.0,1.0,0.25,1.0,0.0,0,65,10500.0,3579.298838,1148.902535,0.0,12,Target
2403,12476,11964.83264,1.0,1175.35,1031.85,143.5,2271.555171,0.75,0.583333,0.416667,0.583333,11,19,14000.0,2949.673416,3098.62505,0.0,12,Target
2408,12481,4840.545574,1.0,1595.93,1595.93,0.0,4359.32575,0.454545,0.454545,0.0,0.545455,17,25,6000.0,905.8448460000001,2376.919568,0.090909,11,Target
2422,12495,12856.15251,1.0,775.42,649.42,126.0,7362.379262,0.416667,0.25,0.333333,0.166667,11,16,14000.0,2885.335197,3331.513399,0.0,12,Target
2427,12501,3904.008546,1.0,600.0,0.0,600.0,1433.189324,0.5,0.0,0.416667,0.5,6,6,4700.0,1154.910275,1475.694904,0.0,12,Target
2432,12506,6074.986862,1.0,1000.0,1000.0,0.0,4360.872498,0.083333,0.083333,0.0,0.5,7,1,14000.0,1365.3248820000001,1766.0557010000002,0.0,12,Target
2437,12511,4153.477506,1.0,561.25,375.25,186.0,1222.725542,0.333333,0.083333,0.166667,0.583333,15,4,8000.0,1854.156679,1172.150883,0.0,12,Target
2439,12513,7593.590618000001,1.0,0.0,0.0,0.0,3843.962731,0.0,0.0,0.0,0.083333,2,0,8000.0,1534.809766,2012.365718,0.0,12,Target
2441,12515,8771.507851,1.0,1082.98,497.08,585.9,4504.545269,1.0,0.5,0.833333,0.666667,26,26,18500.0,1964.1955879999998,1978.414023,0.0,12,Target
2446,12520,4779.786334,1.0,1470.24,882.78,587.46,4962.936839,1.0,0.416667,1.0,0.666667,33,29,7000.0,4760.677367,1393.490557,0.0,12,Target
2448,12522,4705.294706000001,1.0,0.0,0.0,0.0,9894.067335,0.0,0.0,0.0,0.916667,30,0,9000.0,8778.87795,1470.361933,0.0,12,Target
2454,12528,10915.55075,1.0,0.0,0.0,0.0,23130.82106,0.0,0.0,0.0,0.583333,23,0,15000.0,18341.95467,3127.192305,0.0,12,Target
2465,12539,5151.912071,1.0,0.0,0.0,0.0,2873.077058,0.0,0.0,0.0,0.166667,4,0,7000.0,1362.424363,1240.254115,0.0,12,Target
2467,12541,6437.92423,1.0,716.76,54.46,662.3,2365.445125,1.0,0.083333,0.916667,0.416667,10,33,7000.0,1364.331914,1968.717366,0.0,12,Target
2469,12543,3929.705042,1.0,935.71,0.0,935.71,5093.44832,0.833333,0.0,0.75,0.166667,3,34,6000.0,6409.769007,1447.893709,0.0,12,Target
2470,12544,6909.058266,1.0,473.51,70.0,403.51,1031.5839429999999,0.583333,0.083333,0.5,0.166667,4,11,7500.0,1593.8970630000001,3196.171515,0.0,12,Target
2473,12547,6443.077147,0.909091,2155.13,1325.34,829.79,1650.039631,1.0,0.583333,1.0,0.416667,17,75,7500.0,9689.602075,3163.4029769999997,0.0,12,Target
2474,12548,4570.04875,1.0,888.98,888.98,0.0,1825.929322,0.416667,0.416667,0.0,0.166667,2,7,6000.0,1179.34586,1200.9609070000001,0.0,12,Target
2477,12551,4968.771623,1.0,3441.3,2416.7,1024.6,0.0,1.0,0.333333,0.833333,0.0,0,26,11500.0,1385.717858,1499.391822,0.0,12,Target
2485,12559,11416.647359999999,1.0,1347.7,0.0,1347.7,0.0,0.583333,0.0,0.583333,0.0,0,9,15500.0,2704.076105,2580.556298,0.0,12,Target
2487,12561,5880.2186710000005,0.666667,0.0,0.0,0.0,10590.41113,0.0,0.0,0.0,0.166667,1,0,11500.0,1828.2391710000002,1952.0416260000002,0.0,6,Target
2488,12562,5354.109275,1.0,0.0,0.0,0.0,2660.070252,0.0,0.0,0.0,0.333333,7,0,7000.0,1408.4378179999999,1228.996607,0.0,12,Target
2490,12564,4319.531807,1.0,0.0,0.0,0.0,9085.908764,0.0,0.0,0.0,0.666667,19,0,7500.0,10339.93845,1348.605697,0.0,12,Target
2499,12573,5236.290986,1.0,1780.79,1080.65,700.14,657.93913,1.0,0.666667,1.0,0.166667,5,93,17000.0,1230.8064880000002,1182.650916,0.0,12,Target
2502,12576,5550.171932,1.0,1026.26,1026.26,0.0,256.963408,0.583333,0.583333,0.0,0.083333,1,12,11000.0,1322.74282,1417.69815,0.0,12,Target
2515,12589,3891.346976,1.0,3629.8,50.0,3579.8,2538.5616440000003,1.0,0.083333,1.0,0.166667,5,254,7500.0,8259.411897,4725.470314,0.083333,12,Target
2516,12590,7442.599092,1.0,1080.0,0.0,1080.0,3968.6840469999997,0.666667,0.0,0.666667,0.25,29,24,8500.0,4365.058558,6019.766065999999,0.0,12,Target
2522,12596,5115.7128490000005,1.0,4378.8,3195.58,1183.22,0.0,0.833333,0.333333,0.75,0.0,0,19,10000.0,2241.2469109999997,1320.011574,0.0,12,Target
2531,12605,4424.767314,0.833333,0.0,0.0,0.0,7013.528326000001,0.0,0.0,0.0,0.666667,13,0,7000.0,864.1411,983.378772,0.0,6,Target
2546,12620,5010.8797030000005,1.0,0.0,0.0,0.0,2181.390333,0.0,0.0,0.0,0.25,7,0,7000.0,1327.690018,1273.479311,0.0,12,Target
2548,12622,4936.9133409999995,1.0,407.81,351.81,56.0,2790.468488,0.333333,0.25,0.083333,0.333333,7,4,5000.0,2189.546633,2473.4474370000003,0.0,12,Target
2555,12629,5906.184924,1.0,141.8,141.8,0.0,1651.286918,0.125,0.125,0.0,1.125,12,2,10000.0,933.969974,919.289675,0.0,8,Target
2561,12635,4759.70237,1.0,614.01,473.01,141.0,6791.261503,1.0,1.0,0.083333,0.5,8,14,7500.0,7324.826511,1023.0383210000001,0.0,12,Target
2576,12651,5097.916969,1.0,139.67,139.67,0.0,3365.3902689999995,0.5,0.5,0.0,0.25,22,6,6000.0,3313.162847,2759.80377,0.0,12,Target
2578,12653,5827.830678,1.0,577.98,358.02,219.96,2191.528662,1.0,0.083333,1.0,0.333333,7,13,6000.0,1771.3650100000002,1842.7566199999999,0.0,12,Target
2579,12654,7543.580736,1.0,0.0,0.0,0.0,2925.55754,0.0,0.0,0.0,0.083333,9,0,8500.0,1738.415018,1785.269757,0.0,12,Target
2593,12669,11077.99148,1.0,3419.92,3419.92,0.0,7837.4141420000005,0.5,0.5,0.0,0.583333,12,8,12000.0,10934.50273,7294.953939,0.0,12,Target
2598,12674,4413.803457,1.0,0.0,0.0,0.0,2007.044461,0.0,0.0,0.0,0.666667,11,0,5000.0,1305.912583,1423.184018,0.0,12,Target
2605,12681,4805.164203,1.0,0.0,0.0,0.0,949.5878039999999,0.0,0.0,0.0,0.083333,2,0,8500.0,1260.875219,1622.411952,0.0,12,Target
2606,12682,6668.982024,1.0,0.0,0.0,0.0,2230.439984,0.0,0.0,0.0,0.333333,7,0,7500.0,1752.332514,2371.318646,0.0,12,Target
2608,12684,7801.511533,1.0,231.4,231.4,0.0,4109.465221,0.1,0.1,0.0,1.1,20,3,13500.0,1593.617739,1522.4967550000001,0.0,10,Target
2612,12688,6493.033342000001,1.0,447.5,447.5,0.0,1664.4737400000001,0.416667,0.416667,0.0,0.583333,8,6,8000.0,1907.5997399999999,1874.457189,0.0,12,Target
2631,12707,8559.236795,1.0,170.0,170.0,0.0,3260.2960780000003,0.083333,0.083333,0.0,0.25,11,1,9000.0,1541.113331,4403.024728,0.0,12,Target
2632,12708,6810.401781999999,1.0,635.76,164.32,471.44,3863.40531,0.916667,0.083333,0.916667,0.25,13,17,10000.0,3161.148768,3781.9076450000002,0.0,12,Target
2636,12713,4164.796859,1.0,784.63,617.54,167.09,0.0,0.454545,0.454545,0.181818,0.0,0,16,9000.0,1072.433416,1311.061985,0.0,11,Target
2639,12716,4556.537803,0.909091,1450.0,1450.0,0.0,2260.73569,0.090909,0.090909,0.0,0.181818,2,1,9000.0,1010.845518,917.5672619999999,0.0,11,Target
2643,12720,6384.3604909999995,1.0,1856.84,1394.21,462.63,2144.180453,0.333333,0.333333,0.166667,0.75,26,19,7500.0,2275.6866059999998,1485.827109,0.0,12,Target
2645,12722,9226.646604000001,1.0,671.31,671.31,0.0,6171.934509000001,0.5,0.5,0.0,0.5,12,12,12000.0,2726.318749,3129.402094,0.0,12,Target
2657,12734,8073.909084000001,1.0,0.0,0.0,0.0,3860.6995859999997,0.0,0.0,0.0,0.916667,25,0,8500.0,2414.3112969999997,2333.795712,0.0,12,Target
2660,12737,8198.627284,1.0,0.0,0.0,0.0,2909.753084,0.0,0.0,0.0,0.416667,6,0,14000.0,2141.722429,2007.048657,0.0,12,Target
2669,12746,7499.658084000001,1.0,160.0,160.0,0.0,3603.7872020000004,0.166667,0.166667,0.0,0.166667,3,2,13550.0,1962.972636,1849.3138969999998,0.0,12,Target
2671,12748,4644.779013,1.0,4820.68,4063.61,757.07,0.0,0.833333,0.75,0.5,0.0,0,54,9200.0,1076.138168,1324.445876,0.0,12,Target
2672,12749,7418.314012000001,1.0,901.62,858.82,42.8,0.0,0.333333,0.166667,0.166667,0.0,0,4,14500.0,2273.945099,1696.7867370000001,0.0,12,Target
2673,12750,6001.428376,1.0,0.0,0.0,0.0,2404.829712,0.0,0.0,0.0,0.166667,2,0,9000.0,1369.8948050000001,1791.251295,0.0,12,Target
2677,12754,5459.7853079999995,1.0,262.0,0.0,262.0,4212.521736,0.75,0.0,0.75,0.75,19,9,7000.0,1733.828367,1511.4836480000001,0.0,12,Target
2681,12758,5425.936219,1.0,209.9,0.0,209.9,8223.638112,0.5,0.0,0.416667,0.5,15,6,7000.0,7723.416753,1274.178071,0.083333,12,Target
2682,12759,5239.381493,0.625,0.0,0.0,0.0,9798.167329,0.0,0.0,0.0,0.125,1,0,10000.0,1345.580941,2011.806301,0.0,8,Target
2684,12761,4192.143919,1.0,450.0,450.0,0.0,2480.749691,0.083333,0.083333,0.0,0.166667,4,1,4500.0,1271.396821,3642.6159049999997,0.0,12,Target
2696,12773,5145.092629,1.0,1975.72,679.3,1296.42,11834.20581,0.833333,0.333333,0.833333,0.333333,8,33,13500.0,9059.242461,1748.4638739999998,0.0,12,Target
2697,12774,4659.388091,1.0,1754.19,764.16,990.03,1248.153277,1.0,0.5,1.0,0.333333,10,32,9500.0,1042.244606,1060.4567769999999,0.0,12,Target
2718,12796,5901.592192,1.0,1704.95,1141.55,563.4,0.0,0.583333,0.25,0.333333,0.0,0,9,8000.0,1886.6922719999998,1474.409318,0.0,12,Target
2728,12806,5266.121863,1.0,9030.08,6345.65,2684.43,0.0,0.916667,0.25,0.833333,0.0,0,28,6000.0,7973.983573,6567.292367,0.083333,12,Target
2729,12807,6804.186841,1.0,640.03,227.6,412.43,1898.318709,0.416667,0.416667,0.416667,0.166667,4,20,7100.0,1891.669441,1979.44478,0.0,12,Target
2737,12815,6187.219303,1.0,2029.03,1044.28,984.75,5933.125159,0.916667,0.416667,0.75,0.5,13,20,15000.0,8518.845677,1591.416385,0.0,12,Target
2742,12821,6784.2582760000005,1.0,12.64,0.0,12.64,4516.162598,0.083333,0.0,0.083333,0.416667,13,1,10000.0,10813.82933,1661.5180890000001,0.083333,12,Target
2746,12825,4202.1695,1.0,462.0,462.0,0.0,4776.10477,0.166667,0.166667,0.0,0.416667,10,2,8000.0,1010.799168,1541.756326,0.0,12,Target
2755,12834,6671.450524,1.0,369.52,369.52,0.0,2578.5964480000002,0.583333,0.583333,0.0,0.25,7,7,7500.0,1303.259619,3772.048542,0.0,12,Target
2758,12837,4360.2451869999995,1.0,703.23,703.23,0.0,0.0,1.0,1.0,0.0,0.0,0,12,4500.0,1372.421202,1377.09619,0.0,12,Target
2780,12860,11930.784459999999,1.0,37.03,0.0,37.03,5171.7104420000005,0.25,0.0,0.25,0.5,14,3,14000.0,3042.9256609999998,2791.675875,0.0,12,Target
2783,12863,6380.474771,1.0,4381.33,2080.87,2300.46,0.0,0.666667,0.416667,0.5,0.0,0,45,11500.0,1297.408037,2129.183138,0.0,12,Target
2792,12873,6043.926807,1.0,0.0,0.0,0.0,538.044813,0.0,0.0,0.0,0.583333,17,0,6500.0,1454.548208,3032.250188,0.0,12,Target
2796,12877,5311.5009979999995,1.0,2339.79,2339.79,0.0,5930.1152329999995,1.0,1.0,0.0,0.25,8,12,6500.0,6865.056659999999,1486.657279,0.0,12,Target
2823,12905,11642.60156,1.0,15108.47,2370.0,12738.47,0.0,1.0,0.5,1.0,0.0,0,298,12000.0,16005.45204,11652.56511,0.0,12,Target
2828,12910,3937.87556,1.0,0.0,0.0,0.0,1767.100074,0.0,0.0,0.0,0.25,3,0,12000.0,2108.7905600000004,1046.614165,0.0,12,Target
